Komentar,Sentimen
"['lokasi', 'di', 'mana', 'ini']",netral
"['satuan', 'boleh', 'gx']",netral
"['model', 'nya', 'genteng', 'banget']",positif
"['bahannya', 'apa', 'ka']",netral
['assalamualaikum'],netral
"['ukurn', 'l', 'masih', 'ada', 'gk', 'kk']",netral
"['bahan', 'apa']",netral
"['baru', 'beli', 'barangnya', 'bagus']",positif
"['barang', 'yang', 'dipake', 'sangat', 'sejuk']",positif
"['merk', 'apa']",netral
"['kemeja', 'hitam', 'polos', 'kalo', 'sama', 'ongkir', 'kira', 'berapa', 'ya', 'pengiriman', 'palembang', '']",netral
"['bahannya', 'apa']",netral
"['apa', 'bisa', 'beli', 'di', 'sini', 'atau', 'harus', 'lewat', 'aplikasi', 'sopie']",netral
"['cek', 'harganya', 'kk']",netral
"['barang', 'sesuai', 'dengan', 'gambar']",positif
"['beli', 'di', 'shopee', 'promo', 'beli', 'nya', 'ada', 'gak', 'kak']",netral
"['ditawar', 'blh', 'nggk']",netral
"['bahan', 'nya', 'apa', 'min']",netral
"['bisa', 'cod', 'tak']",netral
"['bagus', 'kameja', 'nya']",positif
"['mana', 'link', 'nya']",netral
"['lengan', 'pendek', 'ada', 'warna', 'putih']",netral
"['cek', 'harga']",netral
"['itu', 'yg', 'dpet', 'lngan', 'panjangpendek']",netral
"['di', 'sopi', 'ada', 'ga']",netral
"['bahan', 'nya', 'apa', 'ya', 'kk']",netral
['p'],netral
"['byk', 'yg', 'udh', 'sold', 'old', 'restock', 'lgi', 'dong', 'min', 'sekalian', 'tambah', 'juga', 'varian', 'warnanya']",positif
"['slim', 'atau', 'reguler']",netral
"['hitam', 'gada', 'ya']",netral
"['hitam', 'pnjang', 'm', 'ada', 'ga']",netral
"['msi', 'ada', 'koww']",netral
"['ini', 'xxxl', 'ld', 'cm', 'gak', 'kurang', 'kak', 'takut', 'nanti', 'pas', 'datang', 'dibawah', 'cm', 'alhasil', 'g', 'muat', 'deh', '']",netral
"['bahannya', 'panas', 'ga']",netral
['lokasi'],netral
"['link', 'shopy', 'nya']",netral
"['bagus', 'kemejanya']",positif
['mau'],positif
"['saya', 'mau', 'orderan', 'kak']",positif
"['slim', 'apa', 'reguler', 'ukuran', 'y', 'kak']",netral
"['kira', 'bisa', 'bayar', 'di', 'tempat', 'gk', 'ya', 'k']",netral
"['minat', 'kak']",positif
"['ada', 'di', 'tokped']",netral
"['klo', 'beli', 'berapa']",netral
"['dijalan', 'kan']",netral
"['ada', 'dishopee', 'gak', 'kak']",netral
"['bisa', 'cod', 'kah']",netral
"['ukuran', 'xxl', 'ada']",netral
"['area', 'mana', 'ini']",netral
"['serius', 'segtu', 'harganya']",netral
"['kalo', 'beli', 'satuan', 'boleh', 'gak', 'soalnya', 'cmn', 'prlu', '']",positif
"['link', 'shopee', 'ada']",netral
"['oke', 'bosku']",positif
"['no', 'wa', 'berapa', 'kak']",netral
"['ada', 'di', 'tokped', 'kah']",netral
"['msi', 'ada', 'ka']",netral
"['bisa', 'cod', 'kh', 'kk']",netral
"['bahanya', 'gampang', 'lecek', 'gk', 'nieh']",netral
"['caranya', 'gmna', 'mas']",netral
"['barang', 'sesuai', 'ama', 'yg', 'dipostingan', 'ga', 'kasar', 'pakaiannya']",positif
"['trs', 'bhan', 'ny', 'kyk', 'ap', 'cba', 'klu', 'hrga', 'sgtu', 'dpt', '']",netral
"['saya', 'peswn', 'ka']",positif
"['hitam', 'kosong', 'ka']",netral
"['bahannya', 'dari', 'apa', 'minn']",netral
"['link', 'shopee']",netral
"['belum', 'ongkir']",netral
"['cek', 'harga']",netral
['jejak'],netral
"['ukuran', 'l', 'ada', 'kak']",netral
"['spill', 'shopenya']",netral
"['kalau', 'beli', 'satu', 'harga', 'nya', 'berapa']",netral
"['apa', 'merek', 'nya']",netral
"['ukuran', 'yg', 'xxxl', 'ada', 'gak', 'ya']",netral
"['gratis', 'ongkir', 'gak', 'dan', 'bisa', 'cod']",netral
"['saya', 'minat', 'bos', 'cek', 'harganya']",netral
"['yang', 'mau', 'ini']",positif
"['coba', 'cek', 'ini']",positif
"['like', 'pp', 'sya', 'jika', 'anda', 'gbut']",netral
"['inboxin', 'harga']",netral
"['harga', 'berpa']",netral
['harga'],netral
"['cek', 'harga']",netral
"['cek', 'harga']",netral
"['ada', 'sz', 's']",netral
"['bisakah', 'satuan']",netral
"['bisa', 'pesen', 'dg', 'desain', 'beda', 'bos', 'mau', 'nyari', 'pcs']",netral
"['bisa', 'satuan', 'gk']",netral
"['seperti', 'ini', 'berapa', 'ya']",netral
"['cek', 'harga']",netral
"['bisa', 'satuan', 'nggk']",netral
"['bisa', 'jersey', 'basket', 'gak']",netral
"['yang', 'kuning', 'punggung', 'brpa', 'atasan', 'aja']",netral
"['untuk', 'hrga', 'berpan', 'kk', 'klo', 'buat', 'kaos', 'tim', 'nya']",netral
"['bisa', 'bikin', 'satu', 'gak']",netral
['minat'],netral
"['cek', 'harga']",netral
"['ada', 'link', 'shopee', 'kak']",netral
"['harga', 'berapa', 'kk']",netral
"['berapa', 'selusin', 'kak']",netral
"['kak', 'jersey', 'buat', 'futsal', 'harga', 'berapa']",netral
"['model', 'koas', 'biasa', 'bisa', 'gkmotif', 'desain', 'sndri']",netral
"['ya', 'g', 'depan', 'keren', 'bos', 'berapa']",positif
"['saya', 'mau', 'jadi', 'mitra', 'min', 'bisa', 'gak']",netral
"['berapa', 'ongkir', 'sulselbaju', 'jersey', 'gowes', 'lengan', 'panjangsize', 'xxl']",netral
"['desain', 'dari', 'situ', 'bisa', 'ga', 'saya', 'cuman', 'kirim', 'contohnya', 'aja']",netral
['lokasi'],netral
"['lokasi', 'mana', 'mas']",netral
"['bisa', 'bikin', 'jersey', 'ga', 'desain', 'dr', 'saya', 'bisa', 'ga', '']",netral
['lokasi'],netral
"['ada', 'toko', 'orange', '']",netral
"['berapa', 'harganya']",netral
"['bahan', 'yg', 'bagus', 'buat', 'jersey', 'badminton', 'pake', 'apa', 'pak']",netral
"['lokasi', 'mana', '']",netral
"['ini', 'produksinya', 'di', 'daerah', 'mana']",netral
"['gimana', 'caranya', 'kalok', 'jd', 'member', 'kak']",netral
"['ada', 'di', 'harga', 'brp', 'kak']",netral
"['berapa', 'harga', 'jersey', 'otomotif', 'kak']",netral
"['', 'ribu', 'dapet', 'sperti', 'apa']",netral
['lokasi'],netral
"['setelan', 'yg', 'putih', 'merah', 'biru', 'itu', 'berapa', 'ya']",netral
"['harga', 'brp', 'gan', 'satuan']",netral
['menarik'],netral
"['bisa', 'sekalian', 'edit', 'ga', 'kka']",netral
"['pricelist', 'nya', 'dong']",netral
"['cek', 'hrga']",netral
['harga'],netral
"['satunya', 'brpa']",netral
"['cek', 'harga']",netral
"['bisa', 'cod', 'gk', 'kak']",netral
"['cek', 'harga', 'kk']",netral
"['mantap', 'bisa', 'satuan', 'ga', 'ya']",netral
"['cara', 'nya']",netral
"['brpa', 'aan', 'kak']",netral
"['tokoh', 'shoping', 'ada', 'kak']",netral
"['satuan', 'bisa', 'ga']",netral
"['satu', 'an', 'bisa', 'gk']",netral
"['sayang', 'nya', 'ga', 'bs', 'cod']",netral
"['aman', 'ga', 'nih']",netral
"['harganya', 'brapa']",netral
"['sukses', 'selalu']",positif
"['kaos', 'nya', 'bikin', 'nyaman']",positif
['keren'],positif
['cek'],netral
"['bisa', 'satuan', 'saja', 'kah', 'set', 'dgn', 'celana', 'nya', '']",netral
['keren'],positif
"['kita', 'puas', 'harga', 'pas']",positif
['ceklok'],netral
"['bsa', 'cod', 'bisa', 'ecer', 'gk']",netral
"['ribet', 'banget', 'mesan', 'nya']",negatif
"['berapa', 'harga']",netral
"['bisa', 'bayar', 'cod', 'ga']",netral
"['sudah', 'langganan', 'harga', 'kualitas', 'mantap']",positif
['harga'],netral
"['bisa', 'bikin', 'rompi', 'bola']",netral
"['lokasi', 'dmna', 'min']",netral
"['bikin', 'jersey', 'timnas', 'peserta', 'pildun', 'qatar', 'dong', 'ntar', 'aku', 'beli', 'kalo', 'dah', 'jual']",netral
"['basket', 'ada']",netral
"['bisa', 'g', 'bikin', 'stel']",netral
"['jossss', 'mantap']",positif
"['jarsey', 'nya', 'berapaan', 'kak']",netral
"['lok', 'bisa', 'pake', 'shoope', 'or', 'lazada', 'klo', 'cuma', 'di', 'fb', 'maaf']",netral
"['brapa', 'ka']",netral
"['bebas', 'ongkir', 'y']",netral
"['satu', 'ny', 'berapa', 'an']",netral
"['alhamdulilah', 'bisa', 'berpartisifasi', 'membangun', 'bisnis', 'di', 'wj']",positif
"['seperti', 'berapa']",netral
['minat'],positif
"['kaos', 'nya', 'bagus']",positif
"['pengerjaan', 'brp', 'lama']",netral
"['liat', 'semple', 'yg', 'kiri', 'dong', 'bos', 'yg', 'warna', 'kuning']",netral
"['bisa', 'bikin', 'stel', 'aja', 'gak']",netral
"['cek', 'harga']",netral
"['mau', 'dong']",positif
"['klo', 'buat', 'jersey', 'merpati', 'bisa', 'bng']",netral
"['bisa', 'minta', 'no', 'wa']",netral
"['gimana', 'cara', 'pesen', 'nya', 'min']",netral
"['pricelist', 'nya', 'ada']",netral
"['yang', 'buat', 'anak', 'sd']",netral
"['cek', 'harga', 'kak']",netral
['lokasi'],netral
"['bolehka', 'yg', 'kasih', 'emot', 'ketawa', 'ke', 'tim', 'kesangan', 'kita', 'semua', 'ini', 'kita', 'bantai', 'habis', 'habisan']",netral
"['bisa', 'cod']",netral
"['satuan', 'bisa', 'ngga']",netral
"['shoope', 'atau', 'tokped', 'ada']",netral
"['minta', 'no', 'wa', 'nya', 'bang']",netral
"['minta', 'gbry', 'jersi', 'yg', 'no', '']",netral
"['yg', 'bekerah', 'ada', 'model', 'lain']",netral
"['per', 'jersey', 'brp', '']",netral
"['satuan', 'bisa', 'kah']",netral
"['lokasi', 'di', 'mana', 'kak']",netral
"['boleh', 'liat', 'gambar', 'full', 'baju', 'yang', 'warna', 'item', 'kuning', 'sebelah', 'kiri', 'gk', 'ka', '']",netral
"['cek', 'harga']",netral
['keren'],positif
"['per', 'pcs', 'kena', 'brpa']",netral
"['sukses', 'terus', 'kak']",netral
"['cek', 'harga']",netral
"['cek', 'harga']",netral
['harga'],netral
"['bisa', 'satuan', 'ga', 'ya', 'kak']",netral
['cek'],netral
"['yang', 'ditengah', 'itu', 'jersey', 'apa', 'bng']",netral
"['aku', 'sudah', 'chat', 'tapi', 'belum', 'dibalas', 'adminnya', 'kak']",negatif
"['kalo', 'mau', 'bikin', 'brapaan', 'yah', 'ka']",netral
"['cod', '']",netral
"['tangan', 'panjang', 'brpa']",netral
['cek'],netral
['minat'],positif
"['masih', 'kk']",netral
"['yg', 'paling', 'depan', 'berapa']",netral
"['punya', 'link', 'shopee', 'min']",netral
"['satuan', 'bisa', 'dan', 'berapa']",netral
"['lokasi', 'di', 'mana', 'bos']",netral
"['harga', 'n', 'lokasi', 'mana', 'ya', 'om']",netral
"['bisa', 'bikin', 'satuan']",netral
"['bagai', 'mana', 'cara', 'pemesanan', 'atau', 'mau', 'cek', 'harga']",netral
"['jersey', 'valencia', 'bisa', 'kah', 'pesan', 'satuan']",netral
"['ada', 'desain', 'jersey', 'bola', 'warna', 'ping']",netral
"['cek', 'harga', 'yang', 'jersey', 'paling', 'depan']",netral
"['cek', 'harga', 'dan', 'bahan']",netral
"['kalau', 'ambil', 'pcs', 'langsung', 'celana', 'name', 'club', 'nomor', 'logo', 'club', 'name', 'coach', 'berapa', 'kak', 'kalau', 'keep', 'berapa', 'hari', 'jadi', 'nya', 'saya', 'dari', 'bali', 'kak']",netral
"['bs', 'no', 'wamau', 'mesan', 'skrg']",netral
"['byr', 'd', 'tempat']",netral
"['keren', 'nihpakai', 'brand', 'kita', 'sendiri']",positif
"['alamat', 'bosku', '']",netral
"['cara', 'daftar', 'jadi', 'mitra']",netral
"['link', 'shopee', '']",netral
"['ada', 'toko', 'onlinenya', 'kak']",netral
"['bikin', 'jersy', 'satuan', 'bisa', 'kak']",netral
"['cek', 'harga', 'per', 'satuanya', 'boskuuu']",netral
"['yang', 'minta', 'silahkan', 'inbox', 'gpp']",netral
"['bisa', 'pm', 'pricelist', 'dan', 'desain', 'jersey', 'buat', 'seragam', 'olahraga', 'kantor', '']",netral
"['pesan', 'di', 'yuk', 'harga', 'setelan', 'ribu', 'jersey', 'premium']",netral
"['cek', 'harga', 'bos', 'liga', 'jepang']",netral
"['kaosnya', 'cukup', 'bagus']",positif
